n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,VA_T2F,VB_T2F,VC_T2F,VA_TRIF,VB_TRIF,VC_TRIF,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.5,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,7516.218872,10669.19772,14563.62069,7529.111203,10524.78658,14518.72999,69.27310113,67.34081102,2.766120651,69.59244129,68.33536351,1.755556622
0.5,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.26944,14088.80418,14086.68406,14004.55172,13996.85338,13976.17822,2.756207907,2.776640818,2.76618776,1.776834626,2.007126404,1.776889614
0.55,1,1e-05,1e-05,40,13.33,13.33,32.485124,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,5956.2787,8110.8742,8533.6365,7294.4507,7789.88,8041.8329,90.267631,73.506304,67.420581,80.916074,76.410592,74.082332
0.55,2,1e-05,1000000,40,20,1000000,39.15512358,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10764.07275,14701.68474,8399.457495,10698.05431,14673.33742,8412.973274,60.97541588,2.600926379,63.02884246,61.32742673,2.006666905,62.82632228
0.55,3,1000000,1e-05,40,1000000,20,39.15512358,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14755.24763,8373.399733,10771.84572,14715.78287,8456.332009,10615.29823,2.945698758,63.47628243,61.41524194,1.79294626,63.43681975,62.11370895
0.55,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,7753.344718,10725.33601,14584.52501,7766.930332,10579.02279,14541.93913,67.13532479,65.17430355,2.766115325,67.46909247,66.19187513,1.756140589
0.55,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.26835,14088.80361,14086.68336,14004.55091,13996.85232,13976.17741,2.756199911,2.776632865,2.766184209,1.776829753,2.007120392,1.776883742
0.6,1,1e-05,1e-05,40,13.33,13.33,30.356777,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,6290.4611,8213.4757,8609.5551,7553.6669,7939.9978,8161.4839,87.087021,72.001566,66.3761,78.157453,74.652156,72.570908
0.6,2,1e-05,1000000,40,20,1000000,37.02677652,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10822.34206,14684.72661,8481.901869,10758.91766,14661.45842,8526.010697,59.74983337,2.611534806,61.80673219,59.90031863,2.006715605,61.40529999
0.6,3,1000000,1e-05,40,1000000,20,37.02677652,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14734.85313,8456.93433,10829.23359,14706.40352,8570.48474,10673.716,2.93343605,62.22545227,60.16200708,1.791793599,62.03850777,60.71038039
0.6,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,7975.173712,10783.07157,14601.74843,7989.477726,10635.23997,14561.19026,65.11555619,63.12786816,2.766109999,65.45962777,64.16369056,1.756597855
0.6,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.26726,14088.80305,14086.68265,14004.54988,13996.85051,13976.17625,2.756191909,2.776624911,2.766180657,1.776826857,2.007115024,1.776877108
0.65,1,1e-05,1e-05,40,13.33,13.33,28.228429,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,6601.5268,8315.1484,8683.4844,7795.7256,8083.8019,8277.1024,84.083658,70.542846,65.362595,75.562648,72.957421,71.119496
0.65,2,1e-05,1000000,40,20,1000000,34.89842945,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10878.68801,14668.60569,8562.688304,10817.91826,14649.97923,8635.15209,58.57153248,2.621759108,60.63179393,58.53620376,2.006763216,60.04702469
0.65,3,1000000,1e-05,40,1000000,20,34.89842945,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14715.43341,8538.865201,10884.77389,14697.19921,8680.559172,10730.56424,2.921709659,61.02289008,58.95712251,1.790814944,60.70013348,59.3671887
0.65,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8182.991815,10841.70432,14615.81631,8198.043036,10692.68426,14577.04371,63.20535555,61.19286458,2.766104665,63.55627875,62.24290308,1.756941014
0.65,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.26617,14088.80249,14086.68194,14004.54865,13996.84795,13976.17473,2.756183898,2.776616954,2.766177104,1.776825923,2.007110283,1.776869696
0.7,1,1e-05,1e-05,40,13.33,13.33,26.100082,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,6891.468,8415.2315,8755.5023,8022.1057,8221.5483,8388.7531,81.246677,69.130363,64.378727,73.119128,71.324864,69.72449
0.7,2,1e-05,1000000,40,20,1000000,32.77008239,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10933.19654,14653.26505,8641.785468,10875.10819,14638.88233,8740.53539,57.43783404,2.631619319,59.50135532,57.2310031,2.00680982,58.74743562
0.7,3,1000000,1e-05,40,1000000,20,32.77008239,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14696.92377,8619.149604,10938.54567,14688.17536,8786.721016,10785.86382,2.91049083,59.86586363,57.79784635,1.789997969,59.41796015,58.08038224
0.7,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8377.965365,10900.68049,14627.17498,8393.795538,10750.75448,14589.97716,61.39693345,59.3613261,2.766099331,61.75181445,60.4221592,1.757181339
0.7,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.26507,14088.80193,14086.68123,14004.5472,13996.84463,13976.17285,2.756175885,2.776608996,2.766173549,1.776826939,2.007106151,1.776861493
0.75,1,1e-05,1e-05,40,13.33,13.33,23.971735,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,7162.0953,8513.2579,8825.6821,8234.1439,8353.5073,8496.5339,78.565582,67.763807,63.42323,70.815386,69.752663,68.382575
0.75,2,1e-05,1000000,40,20,1000000,30.64173532,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10985.94921,14638.65227,8719.17725,10930.54237,14628.15087,8842.302008,56.3462572,2.641134418,58.4129418,55.98097859,2.006855526,57.50281134
0.75,3,1000000,1e-05,40,1000000,20,30.64173532,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14679.26474,8697.76131,10990.62426,14679.335,8889.134575,10839.64199,2.899747493,58.75183916,56.68164145,1.789331472,58.188549,56.8465086
0.75,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8561.150601,10959.5648,14636.20481,8577.79363,10808.97415,14600.39837,59.68311249,57.62591828,2.766093996,60.03952036,58.6946357,1.757328921
0.75,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14088.26398,14088.80137,14086.68052,14004.54554,13996.84055,13976.17061,2.756167864,2.776601036,2.766169992,1.776829896,2.007102613,1.776852489
