n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.4,3,1000000,1e-05,40,1000000,20,45.54016478,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01359159422,66.18448249,66.17403088,1.797591566,68.03394582,66.72725311
0.4,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,72.85011626,72.84107442,0.01195859755,74.2145692,73.00267552,1.753950658
0.4,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975714114,0.007975714203,0.007975604219,1.776850363,2.007140468,1.77689914
0.45,1,1e-05,1e-05,40,13.33,13.33,36.7418,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,97.1242,76.6531,69.553,86.9803,80.1224,77.3013
0.45,2,1e-05,1000000,40,20,1000000,43.41181771,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,64.78476325,0.01063718475,64.79087825,64.38887946,2.006565702,65.87478183
0.45,3,1000000,1e-05,40,1000000,20,43.41181771,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.0134754807,64.7929668,64.78267742,1.795829405,66.42989852,65.11748599
0.45,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,70.43731429,70.42839956,0.01195857562,71.83798533,70.60262314,1.754831871
0.45,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975691855,0.007975691979,0.007975594466,1.776841489,2.007133089,1.77689474
0.5,1,1e-05,1e-05,40,13.33,13.33,34.6135,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,93.5651,75.0493,68.4506,83.8521,78.2338,75.6577
0.5,2,1e-05,1000000,40,20,1000000,41.28347065,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,63.45042158,0.01072213738,63.45666564,62.82198608,2.006616911,64.31452931
0.5,3,1000000,1e-05,40,1000000,20,41.28347065,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01336502932,63.45861201,63.4484782,1.79428646,64.89913769,63.58125921
0.5,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,68.16323878,68.15444507,0.01195855364,69.59244129,68.33536351,1.755556622
0.5,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975669595,0.007975669756,0.007975584713,1.776834626,2.007126404,1.776889614
0.55,1,1e-05,1e-05,40,13.33,13.33,32.4851,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,90.2066,73.4895,67.3822,80.9161,76.4106,74.0823
0.55,2,1e-05,1000000,40,20,1000000,39.15512358,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,62.16979791,0.01080447118,62.1761658,61.32742673,2.006666905,62.82632228
0.55,3,1000000,1e-05,40,1000000,20,39.15512358,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01325986687,62.17797611,62.16799163,1.79294626,63.43681975,62.11370895
0.55,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,66.01783161,66.00915314,0.01195853178,67.46909247,66.19187513,1.756140589
0.55,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975647336,0.007975647532,0.00797557496,1.776829753,2.007120392,1.776883742
0.6,1,1e-05,1e-05,40,13.33,13.33,30.3568,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,87.0375,71.9757,66.3462,78.1575,74.6522,72.5709
0.6,2,1e-05,1000000,40,20,1000000,37.02677652,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,60.93971957,0.0108842763,60.94620637,59.90031863,2.006715605,61.40529999
0.6,3,1000000,1e-05,40,1000000,20,37.02677652,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01315965068,60.94788631,60.93804526,1.791793599,62.03850777,60.71038039
0.6,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,63.99176539,63.98319668,0.0119585099,65.45962777,64.16369056,1.756597855
0.6,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975625077,0.007975625309,0.007975565207,1.776826857,2.007115024,1.776877108
0.65,1,1e-05,1e-05,40,13.33,13.33,28.2284,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,84.0465,70.5087,65.3411,75.5626,72.9574,71.1195
0.65,2,1e-05,1000000,40,20,1000000,34.89842945,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,59.75725952,0.01096164248,59.7638606,58.53620376,2.006763216,60.04702469
0.65,3,1000000,1e-05,40,1000000,20,34.89842945,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01306406587,59.76541473,59.75571157,1.790814944,60.70013348,59.3671887
0.65,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,62.07642501,62.06796088,0.01195848799,63.55627875,62.24290308,1.756941014
0.65,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975602818,0.007975603085,0.007975555454,1.776825923,2.007110283,1.776869696
0.7,1,1e-05,1e-05,40,13.33,13.33,26.1001,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,81.2227,69.0888,64.3657,73.1191,71.3249,69.7245
0.7,2,1e-05,1000000,40,20,1000000,32.77008239,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,58.61971079,0.01103665843,58.6264218,57.2310031,2.00680982,58.74743562
0.7,3,1000000,1e-05,40,1000000,20,32.77008239,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01297282245,58.62785468,58.61828417,1.789997969,59.41796015,58.08038224
0.7,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,60.26386595,60.25550151,0.01195846604,61.75181445,60.4221592,1.757181339
0.7,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975580559,0.007975580862,0.007975545701,1.776826939,2.007106151,1.776861493
0.75,1,1e-05,1e-05,40,13.33,13.33,23.9717,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,78.5553,67.7156,63.4186,70.8154,69.7527,68.3826
0.75,2,1e-05,1000000,40,20,1000000,30.64173532,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,57.52456798,0.01110941104,57.53138479,55.98097859,2.006855526,57.50281134
0.75,3,1000000,1e-05,40,1000000,20,30.64173532,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.0128856532,57.53270156,57.52325877,1.789331472,58.188549,56.8465086
0.75,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,58.54677699,58.53850762,0.01195844408,60.03952036,58.6946357,1.757328921
0.75,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.0079755583,0.007975558639,0.007975535948,1.776829896,2.007102613,1.776852489
0.8,1,1e-05,1e-05,40,13.33,13.33,21.8434,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,76.0342,66.3883,62.4987,68.6409,68.2388,67.0907
0.8,2,1e-05,1000000,40,20,1000000,28.51338826,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,56.46950773,0.01117998513,56.47642645,54.78269906,2.00690033,56.30973566
0.8,3,1000000,1e-05,40,1000000,20,28.51338826,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01280231144,56.47763071,56.46831097,1.788805191,57.00873266,55.66238809
0.8,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,56.91843479,56.91025616,0.01195842216,58.41317625,57.05401569,1.757392771
0.8,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975536041,0.007975536417,0.007975526196,1.776834787,2.007099658,1.776842675
0.85,1,1e-05,1e-05,40,13.33,13.33,19.715,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,73.6498,65.106,61.6048,66.5859,66.7812,65.8461
0.85,2,1e-05,1000000,40,20,1000000,26.38504119,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,55.45237377,0.01124846313,55.45939072,53.63300717,2.006944423,55.16506523
0.85,3,1000000,1e-05,40,1000000,20,26.38504119,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.012722569,55.4604869,55.45128579,1.788409924,55.87558582,54.52508393
0.85,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,55.37266143,55.36456943,0.01195840024,56.86702659,55.49445759,1.757380978
0.85,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975513782,0.007975514194,0.007975516443,1.776841606,2.007097279,1.776832047
0.9,1,1e-05,1e-05,40,13.33,13.33,17.5867,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,71.393,63.8674,60.7358,64.6417,65.3775,64.646
0.9,2,1e-05,1000000,40,20,1000000,24.25669413,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,54.47116097,0.0113149248,54.47827266,52.52899662,2.006987785,54.06590618
0.9,3,1000000,1e-05,40,1000000,20,24.25669413,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01264621494,54.47926435,54.47017769,1.788137157,54.78640801,53.43188531
0.9,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,53.90377862,53.8957694,0.01195837831,55.39575216,54.01056539,1.757300767
0.9,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975491524,0.007975491972,0.00797550669,1.77685035,2.007095469,1.776820599
0.95,1,1e-05,1e-05,40,13.33,13.33,15.4583,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,69.2554,62.6711,59.8907,62.8,64.0257,63.4882
0.95,2,1e-05,1000000,40,20,1000000,22.12834706,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,53.52400294,0.01137944724,53.53120608,51.46798559,2.007030608,53.00958845
0.95,3,1000000,1e-05,40,1000000,20,22.12834706,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01257305342,53.53209721,53.52312103,1.787979243,53.73869907,52.38028237
0.95,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,52.50656857,52.49863849,0.01195835642,53.99443843,52.59735594,1.757158626
0.95,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975469265,0.007975469749,0.007975496937,1.776861017,2.007094231,1.776808331
0.999,1,1e-05,1e-05,40,13.33,13.33,13.3726,1.71484e-07,1.28548e-07,3.00032e-07,3.00032e-07,67.2685,61.5384,59.0849,61.0877,62.7491,62.3924
0.999,2,1e-05,1000000,40,20,1000000,20.04256694,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,52.62715054,0.01144086932,52.63444025,50.46752365,2.007072069,52.01358257
0.999,3,1000000,1e-05,40,1000000,20,20.04256694,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.01250427759,52.63523618,52.62636461,1.78792905,52.74994347,51.38782527
0.999,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,51.20221599,51.19436014,0.01195833494,52.68465046,51.27655147,1.756964865
0.999,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,0.007975447452,0.007975447971,0.007975487379,1.776873338,2.007093569,1.776795514
