index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor
61,6,1,21.5402,1.97365,21.6723,1.94871,21.4956,1.98217,21.4661,1.98783,21.6431,1.95419,21.5987,1.96254,22.33,1.83134,22.5828,1.78904,22.3976,1.81989
62,6,2,21.5402,1.97365,21.6723,1.94871,21.4956,1.98217,21.4661,1.98783,21.6431,1.95419,21.5987,1.96254,22.33,1.83134,22.5828,1.78904,22.3976,1.81989
63,6,3,21.5401,1.97365,21.6724,1.94869,21.4952,1.98224,21.4658,1.98789,21.6433,1.95415,21.5986,1.96256,22.3304,1.83128,22.5826,1.78907,22.3979,1.81984
64,6,4,21.5402,1.97365,21.6724,1.94869,21.4952,1.98225,21.4658,1.98789,21.6433,1.95414,21.5985,1.96257,22.3304,1.83128,22.5826,1.78907,22.3979,1.81983
65,6,5,21.5403,1.97362,21.6719,1.94879,21.4956,1.98217,21.4664,1.98779,21.6429,1.95422,21.5984,1.9626,22.3298,1.83138,22.5831,1.78898,22.398,1.81982
66,6,6,21.5403,1.97362,21.6718,1.94879,21.4956,1.98217,21.4664,1.98779,21.6429,1.95422,21.5984,1.9626,22.3298,1.83138,22.5832,1.78898,22.398,1.81982
67,6,7,21.5398,1.97371,21.6723,1.94871,21.4957,1.98215,21.466,1.98786,21.6428,1.95423,21.5989,1.9625,22.3303,1.83129,22.5831,1.78899,22.3974,1.81992
68,6,8,21.5398,1.97373,21.6723,1.94871,21.4957,1.98214,21.466,1.98786,21.6427,1.95424,21.5989,1.9625,22.3303,1.83129,22.5832,1.78898,22.3974,1.81993
69,6,9,21.5403,1.97363,21.672,1.94876,21.4952,1.98224,21.4661,1.98784,21.6431,1.95418,21.5983,1.96262,22.3302,1.83132,22.583,1.78901,22.3982,1.81978
70,6,10,21.5398,1.97372,21.6724,1.94868,21.4954,1.98221,21.4657,1.98792,21.643,1.9542,21.5988,1.96253,22.3307,1.83123,22.583,1.78902,22.3977,1.81988
71,6,11,21.54,1.97369,21.6719,1.94878,21.4957,1.98215,21.4662,1.98782,21.6426,1.95426,21.5986,1.96256,22.3301,1.83133,22.5835,1.78893,22.3978,1.81986
72,6,12,21.5399,1.97369,21.672,1.94876,21.4954,1.98221,21.4659,1.98787,21.6428,1.95423,21.5985,1.96258,22.3304,1.83127,22.5833,1.78896,22.398,1.81981
73,7,1,31.5959,Inf,31.8616,Inf,31.4352,Inf,31.3994,Inf,31.8263,Inf,31.6668,Inf,32.1925,Inf,32.682,Inf,32.3924,Inf
74,7,2,31.5958,Inf,31.8616,Inf,31.4352,Inf,31.3994,Inf,31.8263,Inf,31.6668,Inf,32.1925,Inf,32.682,Inf,32.3925,Inf
75,7,3,31.5958,Inf,31.8618,Inf,31.435,Inf,31.3992,Inf,31.8264,Inf,31.6668,Inf,32.1928,Inf,32.6818,Inf,32.3927,Inf
76,7,4,31.5958,Inf,31.8618,Inf,31.4349,Inf,31.3992,Inf,31.8265,Inf,31.6667,Inf,32.1929,Inf,32.6818,Inf,32.3928,Inf
77,7,5,31.596,Inf,31.8613,Inf,31.4352,Inf,31.3996,Inf,31.8262,Inf,31.6666,Inf,32.1923,Inf,32.6823,Inf,32.3928,Inf
78,7,6,31.596,Inf,31.8613,Inf,31.4352,Inf,31.3996,Inf,31.8262,Inf,31.6666,Inf,32.1923,Inf,32.6824,Inf,32.3928,Inf
79,7,7,31.5956,Inf,31.8616,Inf,31.4353,Inf,31.3993,Inf,31.8261,Inf,31.667,Inf,32.1928,Inf,32.6823,Inf,32.3923,Inf
80,7,8,31.5956,Inf,31.8616,Inf,31.4354,Inf,31.3993,Inf,31.8261,Inf,31.667,Inf,32.1928,Inf,32.6824,Inf,32.3922,Inf
81,7,9,31.596,Inf,31.8615,Inf,31.435,Inf,31.3994,Inf,31.8264,Inf,31.6665,Inf,32.1926,Inf,32.6822,Inf,32.3931,Inf
82,7,10,31.5956,Inf,31.8618,Inf,31.4351,Inf,31.3991,Inf,31.8263,Inf,31.6669,Inf,32.1931,Inf,32.6821,Inf,32.3925,Inf
83,7,11,31.5958,Inf,31.8613,Inf,31.4353,Inf,31.3995,Inf,31.826,Inf,31.6667,Inf,32.1926,Inf,32.6826,Inf,32.3926,Inf
84,7,12,31.5957,Inf,31.8615,Inf,31.4351,Inf,31.3993,Inf,31.8262,Inf,31.6667,Inf,32.1929,Inf,32.6825,Inf,32.3929,Inf
85,8,1,39.1676,0.546604,39.5884,0.531993,38.9181,0.555556,38.8595,0.557692,39.5308,0.533959,39.2836,0.542515,39.6267,0.530692,40.3535,0.50691,39.9799,0.518928
86,8,2,39.1676,0.546605,39.5884,0.531993,38.9181,0.555556,38.8595,0.557692,39.5308,0.533959,39.2836,0.542515,39.6267,0.530692,40.3535,0.50691,39.9799,0.518928
87,8,3,39.1675,0.546605,39.5885,0.531988,38.9179,0.555562,38.8593,0.557699,39.5309,0.533954,39.2836,0.542516,39.6271,0.53068,40.3533,0.506915,39.9802,0.518919
88,8,4,39.1676,0.546605,39.5886,0.531988,38.9179,0.555564,38.8593,0.557699,39.5309,0.533953,39.2836,0.542516,39.6271,0.530679,40.3533,0.506916,39.9802,0.518917
89,8,5,39.1677,0.5466,39.5882,0.532,38.9181,0.555556,38.8596,0.557686,39.5307,0.533961,39.2834,0.542522,39.6266,0.530698,40.3538,0.5069,39.9803,0.518916
90,8,6,39.1677,0.546599,39.5882,0.532001,38.9181,0.555556,38.8596,0.557686,39.5307,0.533961,39.2834,0.542522,39.6265,0.530698,40.3539,0.506899,39.9803,0.518915
91,8,7,39.1674,0.546611,39.5884,0.531993,38.9182,0.555552,38.8594,0.557694,39.5306,0.533964,39.2838,0.54251,39.627,0.530681,40.3538,0.506901,39.9797,0.518933
92,8,8,39.1673,0.546612,39.5884,0.531993,38.9182,0.555551,38.8594,0.557694,39.5306,0.533965,39.2838,0.542509,39.6271,0.53068,40.3539,0.506899,39.9797,0.518934
93,8,9,39.1677,0.5466,39.5883,0.531996,38.9179,0.555562,38.8594,0.557693,39.5309,0.533956,39.2834,0.542522,39.6269,0.530686,40.3537,0.506905,39.9805,0.518908
94,8,10,39.1674,0.546611,39.5886,0.531988,38.918,0.555558,38.8592,0.5577,39.5308,0.533959,39.2837,0.542511,39.6274,0.53067,40.3536,0.506906,39.98,0.518925
95,8,11,39.1675,0.546606,39.5882,0.532,38.9182,0.555552,38.8596,0.557688,39.5306,0.533966,39.2836,0.542517,39.6269,0.530688,40.3541,0.506891,39.9801,0.518922
96,8,12,39.1675,0.546607,39.5883,0.531996,38.918,0.555558,38.8594,0.557694,39.5307,0.533961,39.2835,0.542517,39.6272,0.530677,40.354,0.506896,39.9803,0.518913
97,9,1,42.5095,0.445169,43.0151,0.432352,42.2217,0.452729,42.1471,0.454718,42.9419,0.434172,42.657,0.441372,42.9024,0.435159,43.7493,0.414715,43.3397,0.424416
98,9,2,42.5095,0.445169,43.0151,0.432352,42.2217,0.452729,42.1471,0.454718,42.9419,0.434172,42.6569,0.441372,42.9024,0.435159,43.7493,0.414715,43.3397,0.424416
99,9,3,42.5095,0.445169,43.0152,0.432349,42.2215,0.452733,42.147,0.454722,42.942,0.434168,42.6569,0.441373,42.9028,0.43515,43.7492,0.414718,43.34,0.42441
100,9,4,42.5095,0.445169,43.0152,0.432349,42.2215,0.452734,42.147,0.454722,42.9421,0.434168,42.6569,0.441373,42.9028,0.435149,43.7491,0.414719,43.34,0.424408
101,9,5,42.50966,0.4451659,43.01486,0.4323572,42.22166,0.4527287,42.14729,0.4547134,42.94186,0.434173,42.65678,0.441377,42.90225,0.4351632,43.74965,0.4147071,43.34004,0.4244075
102,9,6,42.50968,0.4451655,43.01485,0.4323575,42.22166,0.4527287,42.14731,0.454713,42.94187,0.4341728,42.65676,0.4413773,42.90223,0.4351636,43.74967,0.4147065,43.34007,0.4244068
103,9,7,42.50937,0.4451734,43.01506,0.4323521,42.22177,0.4527258,42.1471,0.4547185,42.94177,0.4341751,42.65708,0.441369,42.90272,0.4351513,43.7496,0.4147083,43.33952,0.42442
104,9,8,42.50934,0.4451743,43.01505,0.4323524,42.2218,0.452725,42.1471,0.4547185,42.94173,0.4341761,42.65711,0.4413685,42.90276,0.4351503,43.74967,0.4147066,43.33949,0.4244207
105,9,9,42.50965,0.4451662,43.01499,0.4323539,42.2215,0.452733,42.14713,0.4547177,42.942,0.4341695,42.65676,0.4413773,42.90258,0.4351549,43.74949,0.4147107,43.3403,0.4244012
106,9,10,42.50936,0.4451737,43.0152,0.4323487,42.22161,0.4527301,42.14694,0.4547228,42.94191,0.4341717,42.65707,0.4413694,42.90305,0.435143,43.74944,0.4147119,43.33978,0.4244137
107,9,11,42.5095,0.4451701,43.01486,0.432357,42.22177,0.4527258,42.14726,0.4547144,42.94172,0.4341764,42.65691,0.4413736,42.90254,0.4351559,43.74993,0.4147006,43.33987,0.4244116
108,9,12,42.50949,0.4451704,43.015,0.4323537,42.22161,0.4527301,42.14709,0.4547187,42.94186,0.434173,42.6569,0.4413739,42.90287,0.4351476,43.74977,0.4147042,43.34013,0.4244053
109,10,1,51.07298,0.2181468,51.84582,0.2143221,50.69617,0.2200518,50.56047,0.2207446,51.71313,0.2149711,51.34102,0.216808,51.28296,0.2170968,52.47869,0.2112678,51.98698,0.213635
110,10,2,51.07297,0.2181468,51.84581,0.2143221,50.69617,0.2200518,50.56047,0.2207446,51.71313,0.2149712,51.34102,0.216808,51.28296,0.2170968,52.4787,0.2112678,51.98698,0.213635
111,10,3,51.07297,0.2181468,51.84594,0.2143215,50.69605,0.2200524,50.56034,0.2207452,51.71325,0.2149706,51.34103,0.2168079,51.28327,0.2170953,52.47854,0.2112685,51.98723,0.2136337
112,10,4,51.07298,0.2181468,51.84595,0.2143215,50.69603,0.2200525,50.56032,0.2207453,51.71326,0.2149705,51.34101,0.216808,51.28331,0.2170951,52.47852,0.2112686,51.9873,0.2136334
113,10,5,51.07309,0.2181462,51.84567,0.2143228,50.69617,0.2200518,50.56059,0.2207439,51.71311,0.2149713,51.34088,0.2168087,51.28279,0.2170977,52.47901,0.2112663,51.98731,0.2136334
114,10,6,51.07311,0.2181461,51.84566,0.2143229,50.69617,0.2200518,50.56061,0.2207439,51.71311,0.2149712,51.34087,0.2168087,51.28277,0.2170978,52.47904,0.2112662,51.98734,0.2136332
115,10,7,51.07286,0.2181473,51.84582,0.2143221,50.69627,0.2200512,50.56045,0.2207447,51.71302,0.2149717,51.34113,0.2168074,51.28324,0.2170955,52.47896,0.2112666,51.98682,0.2136358
116,10,8,51.07283,0.2181475,51.84581,0.2143221,50.6963,0.2200511,50.56045,0.2207446,51.71299,0.2149718,51.34115,0.2168073,51.28327,0.2170953,52.47903,0.2112662,51.98679,0.2136359
117,10,9,51.07308,0.2181462,51.84579,0.2143222,50.69605,0.2200524,50.56047,0.2207446,51.71322,0.2149707,51.34089,0.2168086,51.2831,0.2170961,52.47886,0.211267,51.98757,0.2136321
118,10,10,51.07285,0.2181474,51.84595,0.2143215,50.69615,0.2200518,50.56033,0.2207453,51.71314,0.2149711,51.34114,0.2168074,51.28355,0.2170939,52.47881,0.2112673,51.98707,0.2136345
119,10,11,51.07298,0.2181467,51.84568,0.2143228,50.69627,0.2200512,50.56058,0.220744,51.713,0.2149718,51.34099,0.2168081,51.28306,0.2170963,52.47928,0.211265,51.98715,0.2136342
120,10,12,51.07297,0.2181468,51.8458,0.2143222,50.69615,0.2200518,50.56046,0.2207446,51.71312,0.2149712,51.341,0.2168081,51.28338,0.2170947,52.47913,0.2112657,51.9874,0.2136329
121,11,1,59.84664,0.3973409,60.97647,0.3855971,59.40572,0.4021748,59.16966,0.4048245,60.74651,0.3879161,60.31216,0.3923938,59.85503,0.3972504,61.4648,0.3807869,60.91694,0.386194
122,11,2,59.84664,0.397341,60.97646,0.3855972,59.40572,0.4021748,59.16966,0.4048245,60.7465,0.3879161,60.31216,0.3923938,59.85503,0.3972504,61.46481,0.3807869,60.91694,0.386194
123,11,3,59.84664,0.397341,60.97658,0.385596,59.40564,0.4021757,59.16957,0.4048256,60.7466,0.3879151,60.31219,0.3923936,59.85533,0.3972472,61.46466,0.3807883,60.91718,0.3861917
124,11,4,59.84664,0.397341,60.97658,0.385596,59.40563,0.4021759,59.16956,0.4048257,60.74661,0.387915,60.31218,0.3923937,59.85536,0.3972469,61.46464,0.3807885,60.91724,0.3861911
125,11,5,59.84674,0.3973399,60.97636,0.3855982,59.40572,0.4021748,59.16977,0.4048233,60.7465,0.3879161,60.31206,0.3923949,59.85487,0.3972521,61.46511,0.380784,60.91725,0.3861909
126,11,6,59.84676,0.3973397,60.97636,0.3855982,59.40572,0.4021748,59.16978,0.4048232,60.74651,0.387916,60.31206,0.392395,59.85485,0.3972523,61.46512,0.3807838,60.91728,0.3861907
127,11,7,59.84657,0.3973418,60.97647,0.3855971,59.40581,0.4021738,59.16967,0.4048244,60.74643,0.3879168,60.31225,0.3923929,59.85528,0.3972477,61.46505,0.3807845,60.91679,0.3861955
128,11,8,59.84655,0.397342,60.97646,0.3855972,59.40583,0.4021736,59.16967,0.4048244,60.74641,0.3879171,60.31227,0.3923927,59.85532,0.3972472,61.46512,0.3807839,60.91677,0.3861958
129,11,9,59.84674,0.3973399,60.97647,0.3855971,59.40564,0.4021757,59.16967,0.4048244,60.7466,0.3879151,60.31208,0.3923947,59.85517,0.3972489,61.46497,0.3807853,60.91749,0.3861886
130,11,10,59.84656,0.3973418,60.97658,0.385596,59.40573,0.4021747,59.16957,0.4048255,60.74653,0.3879159,60.31228,0.3923927,59.85558,0.3972445,61.46491,0.3807859,60.91703,0.3861932
131,11,11,59.84667,0.3973407,60.97637,0.3855981,59.40581,0.4021738,59.16977,0.4048233,60.74643,0.3879169,60.31215,0.392394,59.85512,0.3972494,61.46535,0.3807816,60.9171,0.3861924
