index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,Tempo_Abertura_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor,Tempo_Abertura_C_Consumidor
37,4,1,32.5823,0.835275,1.0731,32.8112,0.823127,1.0716,32.3323,0.84884,1.072,32.3388,0.848486,1.0748,32.8174,0.822799,1.072,32.5697,0.835952,1.0716,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
38,4,2,32.5823,0.835277,1.0731,32.8111,0.823129,1.0716,32.3323,0.84884,1.072,32.3388,0.848487,1.0748,32.8174,0.822801,1.072,32.5697,0.835953,1.0716,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
39,4,3,32.6462,0.831856,1.0731,12.9455,5.88912,1.0741,19.7216,2.37224,1.0742,30.2315,0.976619,1.0733,26.3172,1.30266,1.0732,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
40,4,4,32.6501,0.831651,1.0731,13.1666,5.66847,1.074,19.5244,2.42265,1.0743,30.117,0.984372,1.0734,26.4422,1.28993,1.0732,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
41,4,5,12.7063,6.14344,1.0782,19.6365,2.39379,1.0726,32.3323,0.84884,1.072,25.9999,1.33584,1.0729,0,Inf,Inf,30.0029,0.992183,1.0719,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
42,4,6,12.8707,5.96687,1.0781,19.4836,2.43329,1.0728,32.3323,0.84884,1.072,26.0919,1.32609,1.0729,0,Inf,Inf,29.913,0.998407,1.072,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
43,4,7,19.7565,2.36347,1.0725,32.7435,0.826693,1.0716,13.0021,5.83138,1.0729,0,Inf,Inf,30.3087,0.971444,1.0718,26.4075,1.29345,1.0717,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
44,4,8,19.5561,2.41444,1.0725,32.7396,0.826899,1.0716,13.2167,5.6202,1.0728,0,Inf,Inf,30.188,0.979552,1.0717,26.5247,1.28162,1.0717,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
45,4,9,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
46,4,10,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
47,4,11,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
48,4,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
49,5,1,37.358,0.626495,1.0725,37.6783,0.615286,1.071,37.0491,0.637586,1.0712,37.0438,0.637779,1.0741,37.6737,0.615444,1.0714,37.3674,0.626162,1.0709,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
50,5,2,37.358,0.626497,1.0725,37.6782,0.615287,1.071,37.0491,0.637586,1.0712,37.0438,0.637779,1.0741,37.6737,0.615446,1.0714,37.3674,0.626163,1.0709,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
51,5,3,37.4472,0.623344,1.0725,14.5113,4.56716,1.0727,23.1129,1.70495,1.0735,34.9401,0.721418,1.0728,29.9529,0.995633,1.0724,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
52,5,4,37.4515,0.623193,1.0725,14.7482,4.408,1.0728,22.922,1.73455,1.0736,34.826,0.726395,1.0728,30.0823,0.986739,1.0724,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
53,5,5,14.1981,4.79177,1.0773,22.995,1.72313,1.0713,37.0491,0.637586,1.0712,29.5501,1.0241,1.0716,0,Inf,Inf,34.647,0.734307,1.0711,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
54,5,6,14.3745,4.66318,1.0773,22.8482,1.74619,1.0714,37.0491,0.637586,1.0712,29.6448,1.0173,1.0716,0,Inf,Inf,34.5578,0.738291,1.0711,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
55,5,7,23.1671,1.69669,1.0718,37.5838,0.618562,1.071,14.5707,4.52643,1.0716,0,Inf,Inf,35.0533,0.716523,1.0712,30.072,0.987439,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
56,5,8,22.9727,1.72662,1.0718,37.5795,0.618713,1.071,14.8012,4.37352,1.0717,0,Inf,Inf,34.9325,0.721745,1.0712,30.193,0.979216,1.0711,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
57,5,9,6.04471,44.5981,1.0835,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
58,5,10,0,Inf,Inf,6.42164,36.8243,1.078,0,Inf,Inf,0,Inf,Inf,6.03023,44.9448,1.0799,6.05161,44.4343,1.0854,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
59,5,11,0,Inf,Inf,0,Inf,Inf,6.06189,44.1922,1.0779,0,Inf,Inf,0,Inf,Inf,5.8738,48.9605,1.0767,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
60,5,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
