index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor
86,8,2,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
87,8,3,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
88,8,4,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
89,8,5,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
90,8,6,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
91,8,7,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
92,8,8,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
93,8,9,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
94,8,10,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
95,8,11,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
96,8,12,39.1674,0.546609,39.5883,0.531998,38.918,0.555561,38.8593,0.557697,39.5306,0.533963,39.2835,0.54252,39.6276,0.530662,40.3544,0.506881,39.9808,0.518899
97,9,1,42.5094,0.445171,43.0149,0.432355,42.2216,0.452731,42.1471,0.45472,42.9418,0.434174,42.6568,0.441375,42.9033,0.435137,43.7502,0.414694,43.3406,0.424395
