n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,VA_T2F,VB_T2F,VC_T2F,VA_TRIF,VB_TRIF,VC_TRIF,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.35,3,1000000,1e-05,40,1000000,20,47.66851184,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14573.13069,8022.341423,10269.12429,14754.86676,7955.745532,10365.87227,0.01371377728,67.63690134,67.62628041,1.799591478,69.71658063,68.41588367
0.35,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,6675.617625,10281.78952,14220.16668,6709.146527,10384.55405,14418.15837,75.41244649,75.40327116,0.01195861948,76.73153907,75.54506719,1.752895527
0.35,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77846,14004.55294,13996.85209,13976.17852,0.007975736374,0.007975736427,0.007975613972,1.776861267,2.007148576,1.776902839
0.4,1,1e-05,1e-05,40,13.33,13.33,38.870165,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,4781.104,7794.6456,8273.2364,6396.6986,7299.6036,7658.9066,100.89491,78.297853,70.690955,90.316564,82.07595,79.018001
0.4,2,1e-05,1000000,40,20,1000000,45.54016478,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10334.84952,14550.67448,8110.507051,10503.84938,14711.55857,8049.241767,66.17626555,0.01054952366,66.18224593,66.03346401,2.006512976,67.51241209
0.4,3,1000000,1e-05,40,1000000,20,45.54016478,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14550.57939,8110.069991,10335.3266,14744.88747,8087.786308,10430.56371,0.01359159422,66.18448249,66.17403088,1.797591566,68.03394582,66.72725311
0.4,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,6964.951704,10327.72223,14256.22068,7001.84419,10426.24674,14457.68507,72.85011626,72.84107442,0.01195859755,74.2145692,73.00267552,1.753950658
0.4,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77846,14004.55274,13996.85326,13976.17877,0.007975714114,0.007975714203,0.007975604219,1.776850363,2.007140468,1.77689914
0.45,1,1e-05,1e-05,40,13.33,13.33,36.741818,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,5196.1683,7892.9826,8353.8896,6717.8505,7469.8314,7790.4409,97.124231,76.653119,69.553023,86.980327,80.122386,77.30135
0.45,2,1e-05,1000000,40,20,1000000,43.41181771,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10398.83644,14529.293,8196.917988,10570.55643,14698.36836,8174.698651,64.78476325,0.01063718475,64.79087825,64.38887946,2.006565702,65.87478183
0.45,3,1000000,1e-05,40,1000000,20,43.41181771,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14529.20235,8196.513215,10399.28231,14735.03631,8215.138177,10493.71621,0.0134754807,64.7929668,64.78267742,1.795829405,66.42989852,65.11748599
0.45,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,7234.368206,10378.51003,14286.391,7274.601052,10473.47189,14490.9039,70.43731429,70.42839956,0.01195857562,71.83798533,70.60262314,1.754831871
0.45,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77846,14004.55233,13996.8537,13976.17867,0.007975691855,0.007975691979,0.007975594466,1.776841489,2.007133089,1.77689474
0.5,1,1e-05,1e-05,40,13.33,13.33,34.613471,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,5580.8582,7994.0861,8432.2495,7016.4445,7633.2191,7918.1338,93.565099,75.049312,68.450643,83.852121,78.233832,75.657707
0.5,2,1e-05,1000000,40,20,1000000,41.28347065,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10460.67186,14509.00062,8281.908872,10635.28084,14685.63441,8295.908934,63.45042158,0.01072213738,63.45666564,62.82198608,2.006616911,64.31452931
0.5,3,1000000,1e-05,40,1000000,20,41.28347065,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14508.91457,8281.534613,10461.08776,14725.3304,8337.936436,10555.29873,0.01336502932,63.45861201,63.4484782,1.79428646,64.89913769,63.58125921
0.5,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,7485.564494,10432.77993,14311.5456,7529.111203,10524.78658,14518.72999,68.16323878,68.15444507,0.01195855364,69.59244129,68.33536351,1.755556622
0.5,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77846,14004.55172,13996.85338,13976.17822,0.007975669595,0.007975669756,0.007975584713,1.776834626,2.007126404,1.776889614
